Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J122139.79+020638.3|52283-0519-230 | 7.73644|0.31463|  8519|   71|8.012|0.093| 7.23801| 0.51036|
SDSS J122221.95+171539.4|54231-2597-116 | 3.23266|0.18549| 24264|  309|7.981|0.043| 3.19521| 0.13268|
SDSS J122224.34+584755.1|52791-1315-540 | 8.20412|0.08371| 10493|   64|8.064|0.043| 8.93656| 0.32525|
SDSS J122229.58-024332.5|52313-0333-077 |10.65861|0.08408| 11379|   86|8.186|0.030|11.54077| 0.34007|
SDSS J122253.23+185011.9|54477-2611-129 | 9.05281|0.11294| 10574|   58|8.009|0.037| 9.31820| 0.29000|
SDSS J122258.74+094711.6|52672-1230-038 | 3.87569|0.28383| 22898|  394|7.965|0.054| 3.38364| 0.17516|
SDSS J122333.92+220820.8|54477-2645-039 | 6.93372|0.12656| 16693|  154|7.903|0.029| 6.55744| 0.17476|
SDSS J122336.20+412242.7|53112-1452-206 | 4.95120|0.10870| 23919|  215|7.929|0.030| 4.51533| 0.13108|
SDSS J122337.56+333806.5|53503-1999-026 | 8.73927|0.20656| 10262|   73|8.215|0.059| 8.40807| 0.42862|
SDSS J122352.32+180341.4|54231-2597-577 | 6.36172|0.18403| 11838|  130|8.160|0.040| 6.67170| 0.25391|
SDSS J122432.34-000805.8|54153-2568-171 | 1.59733|0.34796| 18504|  291|7.487|0.053| 1.73992| 0.08918|
SDSS J122450.27+003617.5|54153-2568-518 | 0.80288|0.34497| 30074|  248|7.397|0.051| 1.13161| 0.05398|
SDSS J122504.94+234754.9|54479-2646-451 | 3.95957|0.25926| 13865|  552|8.019|0.057| 4.33656| 0.29339|
SDSS J122600.54+170242.3|54231-2597-032 | 6.29418|0.10380| 15352|  167|7.971|0.030| 6.28764| 0.17964|
SDSS J122602.10+352813.0|53819-2015-361 | 8.55654|0.15195|  8956|   62|8.198|0.072| 8.75189| 0.52296|
SDSS J122635.54+361346.9|53442-2003-073 | 6.57705|0.19550| 11295|  122|8.145|0.046| 7.29197| 0.31528|
SDSS J122650.39+421258.8|53112-1452-148 | 7.91147|0.10625| 14838|  155|8.021|0.024| 7.81330| 0.19351|
SDSS J122657.29+372634.6|53466-1992-249 | 4.05442|0.11954| 17951|  231|7.798|0.042| 4.57792| 0.17398|
SDSS J122708.87+340914.0|53819-2015-232 | 2.58644|0.30108| 23357|  488|7.729|0.067| 2.13970| 0.13846|
