Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J135539.45+262927.9|56090-6005-0838| 1.38305|0.20446| 35144|  356|7.837|0.064| 1.46061| 0.07920|
SDSS J135539.90-011406.8|55361-4041-0697| 3.07442|0.33287| 14912|  199|7.874|0.036| 3.12747| 0.10643|
SDSS J135615.76+640700.9|56396-6821-0882| 5.14466|0.10554| 19991|  198|8.307|0.031| 4.77936| 0.14588|
SDSS J135618.80+150847.9|56014-5446-0780| 3.48476|0.27785| 14980|  267|7.985|0.044| 3.49900| 0.14987|
SDSS J135622.14-003345.9|55631-4037-0496| 3.14591|0.20699| 18511|  207|7.910|0.036| 3.29088| 0.10907|
SDSS J135624.75+120153.3|56013-5448-0444| 1.62308|0.24380| 24523|  333|7.452|0.045| 1.64659| 0.07757|
SDSS J135632.54-014436.5|55361-4041-0786| 3.29451|0.33560| 19242|  287|7.890|0.047| 2.72121| 0.11964|
SDSS J135647.67+014447.9|55330-4036-0224| 3.89015|0.26090| 15922|  163|7.965|0.029| 4.36990| 0.12004|
SDSS J135709.49+334802.9|55274-3861-0826|10.54049|0.07282| 14972|   83|7.997|0.014|10.57233| 0.14649|
SDSS J135720.63+250913.2|56090-6005-0098| 3.12390|0.28568| 16040|  281|8.006|0.052| 2.83019| 0.13635|
SDSS J135733.28+060757.6|55688-4863-0468| 2.94486|0.18949| 21893|  271|7.921|0.038| 3.05429| 0.11074|
SDSS J135734.70+280111.3|56313-6009-0618| 3.65318|0.10552| 31653|  111|7.896|0.025| 3.32188| 0.07159|
SDSS J135802.25+022630.9|55330-4036-0814| 5.41486|0.20136| 15936|  129|7.958|0.023| 5.13159| 0.11200|
SDSS J135806.14-030724.9|55361-4041-0172| 3.38038|0.36894| 18637|  202|8.028|0.034| 2.94527| 0.09433|
SDSS J135831.79+070929.6|55688-4863-0562| 2.41072|0.32533| 24106|  357|7.870|0.050| 1.91325| 0.09170|
SDSS J135831.85+384351.8|55737-4711-0532| 4.98966|0.05844| 23362|  119|7.892|0.016| 6.72666| 0.10568|
SDSS J135834.64+263343.2|56313-6009-0374| 5.43015|0.10013| 21295|  148|7.953|0.021| 5.08778| 0.10235|
SDSS J135911.24+380659.0|55737-4711-0446| 3.50651|0.12971| 19470|  210|7.981|0.034| 3.42269| 0.11059|
SDSS J135912.12-021531.0|55361-4041-0116| 3.54609|0.16598| 24582|  220|8.066|0.031| 2.89085| 0.08755|
SDSS J135913.81+474012.4|56367-6750-0618| 4.66398|0.18544| 10542|   79|7.999|0.052| 4.64157| 0.19947|
SDSS J135942.15+161106.7|56014-5446-0964| 2.05190|0.36635| 25063|  440|7.943|0.062| 1.84853| 0.10783|
SDSS J135942.49+310255.5|56363-6494-0944| 4.00534|0.14923| 21693|  213|7.951|0.030| 3.76763| 0.10819|
SDSS J135955.79+041113.2|55677-4784-0160| 3.83088|0.25156| 16484|  188|7.929|0.035| 3.37797| 0.10893|
SDSS J140008.90+145247.0|56014-5446-0075| 3.23149|0.11245| 34661|  186|7.956|0.036| 3.09364| 0.09977|
SDSS J140014.10+160948.1|56030-5449-0326| 3.87231|0.22348| 15399|  289|8.108|0.047| 4.02159| 0.18796|
SDSS J140020.94+622809.4|56419-6815-0718| 3.63540|0.12357| 20702|  247|7.857|0.036| 3.29030| 0.11126|
SDSS J140108.45+370255.2|55247-3854-0730| 8.87724|0.15608|  8667|   30|8.006|0.039| 8.44387| 0.25729|
SDSS J140121.12-022456.0|55363-4038-0478| 3.64760|0.43098| 17321|  211|7.753|0.040| 2.60574| 0.09327|
SDSS J140134.59+260642.3|56093-6008-0635| 2.57325|0.22077| 19896|  282|7.788|0.044| 2.31149| 0.09488|
SDSS J140213.31+451142.2|56365-6629-0928| 5.39831|0.06409| 20699|  127|7.905|0.019| 5.13262| 0.09167|
SDSS J140308.28+113255.4|55986-5450-0660| 3.95299|0.13192| 25304|  206|7.939|0.029| 3.50185| 0.09716|
SDSS J140321.59+482253.2|56367-6750-0803| 2.63437|0.19762| 28111|  247|7.937|0.041| 2.17024| 0.08213|
SDSS J140327.77+002119.6|55631-4037-0882| 1.52308|0.11460| 63128| 1229|7.419|0.065| 1.35211| 0.09107|
SDSS J140328.51+021030.7|55332-4033-0400| 4.67747|0.22132| 15514|  162|8.063|0.028| 4.54393| 0.12425|
SDSS J140350.51+504503.6|57487-8435-0542| 3.33914|0.20857| 18904|  282|7.838|0.048| 2.68432| 0.11898|
SDSS J140350.77+321859.7|55276-3862-0686| 2.75905|0.11012| 34178|  181|7.818|0.037| 2.49448| 0.08257|
SDSS J140354.03+433454.4|56090-6058-0750| 4.91766|0.08397| 21192|  201|7.895|0.028| 4.48088| 0.12008|
SDSS J140418.21+014634.3|55332-4033-0314| 2.76606|0.28014| 20857|  270|7.931|0.039| 2.45570| 0.09020|
SDSS J140433.50+074211.3|55957-5452-0445| 4.45624|0.12512| 23937|  170|7.918|0.024| 4.10946| 0.09538|
SDSS J140438.96+524326.4|56448-7027-0417|10.80331|0.09753|  8026|   44|7.937|0.064| 9.92772| 0.47323|
SDSS J140444.69+441106.9|57519-8503-0596| 2.44777|0.20138| 16932|  243|7.965|0.046| 2.69302| 0.11130|
SDSS J140444.83+421948.4|56090-6058-0240| 2.92477|0.19936| 15396|  255|8.013|0.045| 3.13249| 0.13441|
SDSS J140454.19+175147.0|56039-5894-0362| 5.71298|0.10619| 17417|  124|7.920|0.023| 5.58651| 0.11624|
SDSS J140533.12+165048.5|56015-5454-0490| 5.02675|0.23726| 13543|  315|8.413|0.053| 5.16373| 0.26880|
